768
0,0,0
0,7,100
0,7,100
0,8,101
0,9,102
1,10,103
1,11,104
1,11,105
1,12,106
2,13,106
2,14,107
2,15,108
2,15,109
2,16,110
3,17,111
3,18,112
3,19,113
3,20,114
4,20,115
4,21,116
4,22,116
4,23,117
5,24,118
5,25,119
5,25,120
5,26,121
5,27,122
6,28,123
6,29,124
6,29,125
6,30,126
7,31,127
7,32,128
7,33,129
7,34,130
7,34,131
8,35,132
8,36,133
8,37,134
8,38,135
9,39,136
9,39,137
9,40,138
9,41,139
9,42,140
10,43,141
10,43,142
10,44,143
10,45,144
10,46,145
11,47,146
11,48,147
11,48,147
11,49,148
12,50,149
12,51,150
12,52,151
12,53,152
12,53,153
13,54,154
13,55,155
13,56,156
13,57,157
14,58,158
14,58,159
14,59,160
14,60,161
14,61,162
15,62,163
15,62,164
15,63,165
15,64,165
16,65,166
16,66,167
16,67,168
16,67,169
17,68,170
17,69,171
17,70,172
17,71,173
18,71,173
18,72,174
18,73,175
18,74,176
19,75,177
19,75,178
19,76,178
19,77,179
20,78,180
20,79,181
20,80,182
21,80,182
21,81,183
21,82,184
21,83,185
22,84,185
22,84,186
22,85,187
23,86,188
23,87,188
23,88,189
23,88,190
24,89,190
24,90,191
24,91,192
25,92,192
25,92,193
25,93,194
26,94,194
26,95,195
26,96,195
27,96,196
27,97,197
27,98,197
28,99,198
28,100,198
29,100,199
29,101,199
29,102,200
30,103,200
30,103,201
30,104,201
31,105,202
31,106,202
32,107,203
32,107,203
32,108,203
33,109,204
33,110,204
34,111,205
34,111,205
35,112,205
35,113,206
36,114,206
37,115,207
37,116,207
38,116,207
38,117,208
39,118,208
40,119,209
40,120,209
41,121,210
42,122,210
43,122,210
43,123,211
44,124,211
45,125,212
46,126,212
47,127,212
48,128,213
48,129,213
49,130,214
50,131,214
51,132,214
52,132,215
53,133,215
54,134,215
55,135,216
56,136,216
57,137,217
58,138,217
59,139,217
60,140,218
61,141,218
62,142,219
63,143,219
64,144,219
65,145,220
66,146,220
67,147,220
69,148,221
70,149,221
71,150,222
72,151,222
73,152,222
74,153,223
76,154,223
77,155,223
78,156,224
79,157,224
80,158,225
82,159,225
83,160,225
84,161,226
85,162,226
87,163,226
88,164,227
89,165,227
90,165,227
92,166,228
93,167,228
94,168,228
96,169,229
97,170,229
98,171,229
100,172,230
101,173,230
102,174,230
104,175,231
105,176,231
106,177,231
108,178,232
109,179,232
110,180,232
112,181,233
113,182,233
115,183,233
116,184,234
117,185,234
119,186,234
120,187,235
121,188,235
123,189,235
124,190,236
126,191,236
127,192,236
128,193,237
130,194,237
131,195,237
133,196,237
134,196,238
135,197,238
137,198,238
138,199,239
140,200,239
141,201,239
142,202,239
144,203,240
145,204,240
147,205,240
148,206,241
149,207,241
151,207,241
152,208,241
153,209,242
155,210,242
156,211,242
158,212,242
159,213,243
160,213,243
162,214,243
163,215,243
164,216,244
166,217,244
167,218,244
168,218,244
170,219,245
171,220,245
172,221,245
174,222,245
175,222,246
176,223,246
177,224,246
179,225,246
180,225,247
181,226,247
182,227,247
184,228,247
185,228,247
186,229,248
187,230,248
189,231,248
190,231,248
191,232,248
192,233,249
193,233,249
194,234,249
196,235,249
